iter	RMSE
354	291616.9808
355	290865.0197
356	289102.6978
357	287287.4205
358	286178.2849
359	284267.9993
360	283121.061
361	281592.7163
362	279971.2346
363	279357.7113
364	279277.2239
365	278222.1554
6	290724.5496
367	289158.9793
368	287336.8011
369	369	261868.999

370	304414.6414
371	301828.1081
372	299849.497
373	297836.3591
374	296284.6216
375	294349.2963
376	292442.5612
377	291199.9143
378	289150.634
379	287900.9416
380	285988.7237
381	284013.0508
382	282436.5109
383	281446.9913
384	279511.6244
385	277136.81
386	275354.68
387	274030.8799
388	273331.9248
389	272064.6518
390	270706.0299
391	269660.8192
392	268789.0449
393	267087.8345
394	264823.2625
395	263102.2316
